date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:23	223403/223403	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-368ab%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/sql/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/sql/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:23	191056/191056	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2ea50%22	https://vectorbt.pro/pvt_1606a55a/api/indicators/custom/hurst/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/indicators/custom/hurst/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:24	126408/126408	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-1edc8%22	https://vectorbt.pro/pvt_1606a55a/api/generic/splitting/purged/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/splitting/purged/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:24	185725/185725	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2d57d%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/ccxt/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/ccxt/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:24	176728/176728	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-2b258%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/hdf/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/hdf/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:25	171649/171649	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-29e81%22	https://vectorbt.pro/pvt_1606a55a/api/portfolio/nb/from_signals/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/portfolio/nb/from_signals/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:25	302320/302320	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-49cf0%22	https://vectorbt.pro/pvt_1606a55a/api/portfolio/nb/core/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/portfolio/nb/core/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/)
18:56:26	13489/13489	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226734ace9-34b1%22	https://vectorbt.pro/pvt_1606a55a/assets/images/documentation/bblocks/analyzing.light.svg	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/assets/images/documentation/bblocks/analyzing.light.svg	(from https://vectorbt.pro/pvt_1606a55a/documentation/building-blocks/)
18:56:26	102051/102051	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-18ea3%22	https://vectorbt.pro/pvt_1606a55a/api/generic/nb/patterns/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/generic/nb/patterns/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
18:56:26	171613/171613	---M-Z	200	added ('OK')	text/html	etag:W/%226734ace9-29e5d%22	https://vectorbt.pro/pvt_1606a55a/api/data/custom/av/	D:/Caleb/caleb/Python/meus_sites/vectorbt_pro_site/vectorbt.pro/pvt_1606a55a/api/data/custom/av/index.html	(from https://vectorbt.pro/pvt_1606a55a/getting-started/release-notes/2023/)
